SB Campaign Name,Category,Sub-Category
SBV/Insole/Max Comfort/Generic/Exact/PDP/Aug23/1,Insoles,Max Comfort Insoles
SB/Insole/Max Comfort/Generic/Phrase/Sep23/1,Insoles,Max Comfort Insoles
SBV/Insole/Max Comfort/Men/Phrase/PDP/Sep23/1,Insoles,Max Comfort Insoles
SBV/Insole/Arch Support/PDP/M&W/Phrase/Sep23/1,Insoles,Arch Support Insoles
SBV/Insole/Max Comfort/Men/Exact/PDP/Sep23/1,Insoles,Max Comfort Insoles
SBV/Insole/Arch Support/PDP/M&W/Exact/Sep23/1,Insoles,Arch Support Insoles
SB/Sleeping Pillow/COMP/KW/Brand/Phrase/Sep23/1,Cushions,Sleeping Pillow
SBV/Insole/Max Comfort/Generic/Exact/PDP/Sep23/1,Insoles,Max Comfort Insoles
SBV/Heel Pad/PDP/Exact/Sep23/1,Insoles,Heel Cup
SBV/Insole/Dual Gel/PDP/Men/Exact/Sep23/1,Insoles,Dual Gel Insoles
SBV/Insole/Dual Gel/PDP/Phrase/Sep23/1,Insoles,Dual Gel Insoles
SBV/Heel Pad/PDP/Phrase/Sep23/1,Insoles,Heel Cup
SBV/Insole/Dual Gel/PDP/Men/Phrase/Sep23/1,Insoles,Dual Gel Insoles
SBV/Insole/Dual Gel/PDP/Exact/Sep23/1,Insoles,Dual Gel Insoles
SB/Insole/Max Comfort/Brand/Exact/Sep23/1,Insoles,Max Comfort Insoles
SBV/Insole/Max Comfort/Brand/Phrase/PDP/Sep23/1,Insoles,Max Comfort Insoles
SB/Insole/Max Comfort/Brand/Phrase/Sep23/1,Insoles,Max Comfort Insoles
SBV/Heel Pad/EPB/KW/PDP/Mar23/1,Insoles,Heel Cup
SBV/Coccyx/Exact/Ultimate Pro/PDP/Sep23/1,Cushions,Ultimate Pro Seat Cushion
SBV/Coccyx/Phrase/Ultimate Pro/PDP/Sep23/1,Cushions,Ultimate Pro Seat Cushion
SB/Wheelchair/EP/KW/Jun22/1,Wheelchair,Folding Wheelchair
SBV/Coccyx/Cat/Ultimate Pro/PDP/Sep23/1,Cushions,Ultimate Pro Seat Cushion
SBV/Combo/Cat/Ultimate Pro/PDP/Sep23/1,Cushions,Ultimate Pro Combo
SBV/Combo/Generic/Phrase/Ultimate Pro/Sep23/1,Cushions,Ultimate Pro Combo
SBV/Combo/Generic/Exact/Ultimate Pro/Sep23/1,Cushions,Ultimate Pro Combo
SBV/Insole/Max Comfort/Generic/Exact/PDP/Sep23/2,Insoles,Max Comfort Insoles
SBV/Insole/Max Comfort/Men/Exact/PDP/Sep23/2,Insoles,Max Comfort Insoles
SBV/Wheel Chairs/Foldable/FSS101/Generic/PDP/Phrase/Nov22/1,Wheelchair,Folding Wheelchair
SBV/Coccyx/PDP/New/Coccyx/Exact/Sep23/1,Cushions,Coccyx Seat Cushion
SBV/Sleeping Pillow/Generic/PDP/Phrase/Oct23/1,Cushions,Sleeping Pillow
SBV/Sleeping Pillow/COMP/PT/Oct23/1,Cushions,Sleeping Pillow
SBV/Insole/New/Generic/Men/MS/Exact/Aug22/1,Insoles,Dual Gel Insoles
SBV/Insole/New/Generic/Men/LS/Exact/Aug22/1,Insoles,Dual Gel Insoles
SBV/Insole/New/Comp/PT/Purastep/Aug22/1,Insoles,Dual Gel Insoles
SBV/Insole/New/Generic/Men/HS/Exact/Aug22/1,Insoles,Dual Gel Insoles
SBV/Insole/New/Generic/Men/LS/Phrase/Aug22/1,Insoles,Dual Gel Insoles
SBV/Insole/New/Generic/Men/LS/Exact/Aug22/2,Insoles,Dual Gel Insoles
SBV/Insole/New/Generic/Men/LS/Exact/Sept22/1,Insoles,Dual Gel Insoles
SB/Wheel Chairs/Generic/Exact/Sept22/1,Wheelchair,Folding Wheelchair
SBV/Insole/Old/Generic/Men/LS/Exact/Sep22/1,Insoles,Dual Gel Insoles
SB/Wheel Chairs/Commode/Generic/Exact/Oct22/1,Wheelchair,Bathroom Wheelchair
SB/Wheel Chairs/Foldable/Generic/Portable/Exact/HS/Oct22/1,Wheelchair,Folding Wheelchair
SB/Wheel Chairs/Commode/Generic/Phrase/Oct22/1,Wheelchair,Bathroom Wheelchair
SBV/Socket/All key,Cushions,Socket Seat Cushion
SB/Wedge Cushion/Generic/Exact/May23/1,Cushions,Wedge Cushion
SBV/Sleeping Pillow/Phrase/PDP/KW/Jul23/1,Cushions,Sleeping Pillow
SBV/Sleeping Pillow/Set of 2/PDP/Exact/Sep23/1,Cushions,Sleeping Pillow
SBV/Back/Cat/Ultimate Pro/PDP/Sep23/1,Cushions,Ultimate Pro Back Cushion
SBV/Back/Exact/Ultimate Pro/PDP/Oct23/1,"Cushions	",Ultimate Pro Back Cushion
SBV/Insole/Max Comfort/Generic/Exact/PDP/Nov23/2,Insoles,Max Comfort Insoles
SBV/Sleeping Pillow/Generic/PDP/Exact/Nov23/1-B0CPBWCXRD,Cushions,Sleeping Pillow
SBV/Sleeping Pillow/Brand/PDP/Phrase/Nov23/1- B0CPBWCXRD,Cushions,Sleeping Pillow
SBV/Sleeping Pillow/Brand/PDP/Exact/Nov23/1- B0CPBWCXRD,Cushions,Sleeping Pillow
SBV/Sleeping Pillow/Generic/PDP/Phrase/Nov23/1-B0CPBWCXRD,Cushions,Sleeping Pillow
SBV/Sleeping Pillow/Brand/PDP/Phrase/Nov23/1- Set of 2,Cushions,Sleeping Pillow
SBV/Mask/Ultimate Pro/Brand/Exact/May23/1,Face Mask,Masks
SBV/Mask/Ultimate Pro/Generic/Exact/May23/1,Face Mask,Masks
SBV/Mask/Ultimate Pro/Generic/Phrase/May23/1,Face Mask,Masks
SB/Insole/Brand/EP/KW/Jun23/1,Insoles,Dual Gel Insoles
SBV/Insole/Dual Gel/Generic/Men/HS/PDP/Exact/Sept22/1,Insoles,Dual Gel Insoles
SB/Cervical Neck/Brand/Phrase/Dec23/1,Cushions,Cervical Neck Pillow
SB/Cervical Neck/Generic/Phrase/Dec23/1,Cushions,Cervical Neck Pillow
SB/Cervical Neck/COMP/PT/Dec23/1,Cushions,Cervical Neck Pillow
SB/Cervical Neck/Brand/Exact/Dec23/1,Cushions,Cervical Neck Pillow
SB/Cervical Neck/Generic/Exact/Dec23/1,Cushions,Cervical Neck Pillow
SB/Cervical Neck/CAT/PT/Dec23/1,Cushions,Cervical Neck Pillow
SB/Wheel Chairs/Generic/Foldable/Phrase/Dec23/1,Wheelchair,Folding Wheelchair
SBV/Car Neck Pillow/Generic/PDP/Phrase/Dec23/1,Cushions,Car Neck Rest Pillow
SBV/Car Neck Pillow/Generic/PDP/Exact/Dec23/1,Cushions,Car Neck Rest Pillow
SB/Insole/Dual Gel/Generic/Men/Exact/Aug22/HS1,Insoles,Dual Gel Insoles
SB/Insole/Dual Gel/Phrase/Feb22/1,Insoles,Dual Gel Insoles
SBV/Wheelchair/MAC/Brand/Exact/PDP/Dec20/1,Wheelchair,MAC Wheelchair
SB/Insole/Dual Gel/Exact/Sep22/1,Insoles,Dual Gel Insoles
SB/Car Neck Pillow/Generic/Phrase/Dec23/1,Cushions,Car Neck Rest Pillow
SBV/Wheelchair/MAC/Generic/Phrase/PDP/Dec23/1,Wheelchair,MAC Wheelchair
SBV/Wheelchair/MAC/Generic/Exact/PDP/Dec23/1,Wheelchair,MAC Wheelchair
SB/Car Neck Pillow/Generic/Exact/Dec23/1,Cushions,Car Neck Rest Pillow
SBV/Car Neck Pillow/Generic/PDP/CAT/Jan24/1,Cushions,Car Neck Rest Pillow
SBV/Car Neck Pillow/Generic/PDP/COMP/Jan24/1,Cushions,Car Neck Rest Pillow
SBV/Coccyx/CAT/Ultimate Pro/PDP/Jan24/1,Cushions,Coccyx Seat Cushion
SBV/Coccyx/COMP/Ultimate Pro/PDP/Jan24/1,Cushions,Coccyx Seat Cushion
SBV/Sleeping Pillow/Generic/Exact/VCPM/Jan24/1,Cushions,Sleeping Pillow
SBV/Car Neck Pillow/Generic/Phrase/VCPM/Jan24/1,Cushions,Car Neck Rest Pillow
SBV/Car Neck Pillow/Brand/Exact/Jan24/1,Cushions,Car Neck Rest Pillow
SBV/Car Neck Pillow/Generic/Exact/VCPM/Jan24/1,Cushions,Car Neck Rest Pillow
SBV/Car Neck Pillow/Brand/Phrase/Jan24/1,Cushions,Car Neck Rest Pillow
SBV/Sleeping Pillow/Generic/Phrase/VCPM/Jan24/1,Cushions,Sleeping Pillow
SBV/Sleeping Pillow/COMP/PT/PDP/Oct23/1,Cushions,Sleeping Pillow
SBV/Insole/Max Comfort/COMP/PDP/Jan24/1,Insoles,Max Comfort Insoles
SBV/Insole/Max Comfort/CAT/PDP/Jan24/1,Insoles,Max Comfort Insoles
SBV/Insole/Max Comfort/Generic/Exact/VCPM/Jan24/1,Insoles,Max Comfort Insoles
SBV/Combo/COMP/Ultimate Pro/PDP/Jan24/1,Cushions,Ultimate Pro Combo
SBV/Insole/Max Comfort/Generic/Phrase/VCPM/Jan24/1,Insoles,Max Comfort Insoles
SB/Wheel Chairs/Generic/Foldable/Phrase/VCPM/Jan24/1,Wheelchair,Folding Wheelchair
SBV/Wheel Chairs/Generic/Foldable/Phrase/VCPM/Jan24/1,Wheelchair,Folding Wheelchair
SBV/Wheel Chairs/Generic/Foldable/Exact/VCPM/Jan24/1,Wheelchair,Folding Wheelchair
SBV/WheelChair/CAT/PDP/Folding/Jan24/1,Wheelchair,Folding Wheelchair
SBV/WheelChair/CAT/Folding/Jan24/1,Wheelchair,Folding Wheelchair
SBV/Cervical Neck/Generic/Exact/VCPM/Jan24/1,Cushions,Cervical Neck Pillow
SBV/Cervical Neck/Generic/Phrase/PDP/Jan24/1,Cushions,Cervical Neck Pillow
SBV/Cervical Neck/Generic/Phrase/VCPM/Jan24/1,Cushions,Cervical Neck Pillow
SBV/Cervical Neck/Generic/Exact/PDP/Jan24/1,Cushions,Cervical Neck Pillow
SBV/Cervical Neck/CAT/PT/PDP/Jan24/1,Cushions,Cervical Neck Pillow
SBV/Cervical Neck/COMP/PT/PDP/Jan24/1,Cushions,Cervical Neck Pillow
SBV/Insole/Max Comfort/Men/Exact/PDP/Jan24/1,Insoles,Max Comfort Insoles
SB/Sleeping Pillow/COMP/Jan24/1,Cushions,Sleeping Pillow
SB/Sleeping Pillow/CAT/Jan24/1,Cushions,Sleeping Pillow
SB/Car Neck Pillow/CAT/Jan24/1,Cushions,Car Neck Rest Pillow
SB/Car Neck Pillow/COMP/Jan24/1,Cushions,Car Neck Rest Pillow
SB/Insole/Max Comfort/Targeting/Group/VCPM/Jan24/1,Insoles,Max Comfort Insoles
SB/Insole/Max Comfort/Exact/Men/Jan24/1,Insoles,Max Comfort Insoles
SB/Insole/Max Comfort/Generic/Exact/VCPM/Jan24/1,Insoles,Max Comfort Insoles
SBV/Insole/Max Comfort/Targeting/Group/VCPM/Jan24/1,Insoles,Max Comfort Insoles
SB/Insole/Max Comfort/CAT/Jan24/1,Insoles,Max Comfort Insoles
SB/Insole/Max Comfort/Targeting/Group/CPC/Jan24/1,Insoles,Max Comfort Insoles
SB/Insole/Max Comfort/Generic/Phrase/VCPM/Jan24/1,Insoles,Max Comfort Insoles
SB/Insole/Max Comfort/Phrase/Men/Jan24/1,Insoles,Max Comfort Insoles
SB/Insole/Max Comfort/COMP/Jan24/1,Insoles,Max Comfort Insoles
SBV/Insole/Dual Gel/VCPM/Exact/Jan24/1,Insoles,Dual Gel Insoles
SBV/Insole/Max Comfort/Targeting/Group/CPC/Feb24/1,Insoles,Max Comfort Insoles
SBV/Insole/Dual Gel/Targeting/CPC/PDP/Jan24/1,Insoles,Dual Gel Insoles
SBV/Insole/Dual Gel/VCPM/Phrase/Jan24/1,Insoles,Dual Gel Insoles
SBV/Insole/Dual Gel/Targeting/VCPM/Jan24/1,Insoles,Dual Gel Insoles
SBV/Sleeping Pillow/Targeting/PDP/VCPM/Jan24/1,Cushions,Sleeping Pillow
SBV/Sleeping Pillow/Targeting/PDP/CPC/Jan24/1,Cushions,Sleeping Pillow
SBV/Sleeping Pillow/Targeting/PDP/CPC/Feb24/1,Cushions,Sleeping Pillow
SBV/Insole/Dual Gel/Targeting/CPC/PDP/Feb24/1,Insoles,Dual Gel Insoles
SBV/Sleeping Pillow/Brand/PDP/Exact/Feb24/1,Cushions,Sleeping Pillow
SBV/Car Neck Pillow/Targeting/CPC/PDP/Feb24/1,Cushions,Car Neck Rest Pillow
SB/Car Neck Pillow/Targeting/CPC/Feb24/1,Cushions,Car Neck Rest Pillow
SB/Car Neck Pillow/Generic/Exact/VCPM/Feb24/1,Cushions,Car Neck Rest Pillow
SB/Car Neck Pillow/Brand/Exact/Feb24/1,Cushions,Car Neck Rest Pillow
SB/Car Neck Pillow/Targeting/VCPM/Feb24/1,Cushions,Car Neck Rest Pillow
SB/Car Neck Pillow/Generic/Phrase/VCPM/Feb24/1,Cushions,Car Neck Rest Pillow
SB/Car Neck Pillow/Brand/Phrase/Feb24/1,Cushions,Car Neck Rest Pillow
SBV/Car Neck Pillow/Targeting/CPC/Feb24/1,Cushions,Car Neck Rest Pillow
SBV/Car Neck Pillow/Targeting/VCPM/Feb24/1,Cushions,Car Neck Rest Pillow
SP/Car Neck Pillow/Auto/Dec23/1,Cushions,Car Neck Rest Pillow
SP/Cervical Neck/Generic/Phrase/Dec23/1,Cushions,Cervical Neck Pillow
SP/Coccyx/CAT/NEW/Ultimate Pro/Sep23/1,Cushions,Coccyx Seat Cushion
SP/Heel Pads/CAT/PT/Nov23/1,Insoles,Heel Cup
SD/Insole/Dual Gel/Comp/PT/VCPM/Aug22/1,Insoles,Dual Gel Insoles
SD/Cervical Pillow/COMP/PT/VCPM/Jan24/1,Cushions,Cervical Neck Pillow
SP/Cervical Pillow/CAT/PT/Jan24/1,Cushions,Cervical Neck Pillow
SD/Cervical Neck/CAT/PT/VCPM/Dec23/1,Cushions,Cervical Neck Pillow
SD/Coccyx/Comp/PT/Fovera/Gelride/VCPM/Nov22/1,Cushions,Coccyx Seat Cushion
SP/Insole/UPS/HPMC/May23/1,Insoles,Dual Gel Insoles
SP/Cervical Neck/Auto/Dec23/1,Cushions,Cervical Neck Pillow
SP/Insole/Max Comfort/CAT/PT/Sep23/1,Insoles,Max Comfort Insoles
SP/Insole/Generic/Comp/PT/Fovera/Aug22/1,Insoles,Dual Gel Insoles
SP/Coccyx/OLD/CAT/PT/Sep22/1,Cushions,Coccyx Seat Cushion
SP/Combo/CAT/Ultimate Pro/Sep23/1,Cushions,Cushions Combo
SB/Wheel Chairs/Foldable/CAT/Mar24/1,Wheelchair,Folding Wheelchair
SB/Wheel Chairs/Foldable/COMP/Mar24/1,Wheelchair,Folding Wheelchair
SB/Wheel Chairs/Foldable/Brand/Exact/Mar24/1,Wheelchair,Folding Wheelchair
SBV/Car Backrest Pillow/PDP/Exact/Apr24/1,Cushions,Car Backrest Pillow
SB/Car Backrest Pillow/Phrase/Apr24/1,Cushions,Car Backrest Pillow
SB/Car Backrest Pillow/COMP/Apr24/1,Cushions,Car Backrest Pillow
SB/Car Backrest Pillow/Exact/Apr24/1,Cushions,Car Backrest Pillow
SB/Car Backrest Pillow/CAT/Apr24/1,Cushions,Car Backrest Pillow
SBV/Car Backrest Pillow/PDP/Phrase/Apr24/1,Cushions,Car Backrest Pillow
SB/Cozy Pillow/Phrase/Apr24/1,Cushions,Cozy Sleep Pillow
SB/Cozy Pillow/Exact/Apr24/1,Cushions,Cozy Sleep Pillow
SBV/Cozy Pillow/Exact/Pack of 2/Apr24/1,Cushions,Cozy Sleep Pillow
SBV/Cozy Pillow/Exact/PDP/Apr24/1,Cushions,Cozy Sleep Pillow
SBV/Cozy Pillow/CAT/PDP/Apr24/1,Cushions,Cozy Sleep Pillow
SB/Cozy Pillow/CAT/Apr24/1,Cushions,Cozy Sleep Pillow
SBV/Cozy Pillow/Phrase/Pack of 2/Apr24/1,Cushions,Cozy Sleep Pillow
SBV/Cozy Pillow/Phrase/PDP/Apr24/1,Cushions,Cozy Sleep Pillow
SB/Cozy Pillow/COMP/Apr24/1,Cushions,Cozy Sleep Pillow
SBV/Piles Seat Cushion/Phrase/PDP/Apr24/1,Cushions,Piles Seat Cushion
SBV/Piles Seat Cushion/COMP/PDP/Apr24/1,Cushions,Piles Seat Cushion
SBV/Piles Seat Cushion/CAT/PDP/Apr24/1,Cushions,Piles Seat Cushion
SBV/Piles Seat Cushion/Exact/PDP/Apr24/1,Cushions,Piles Seat Cushion
SBV/Car Backrest Pillow/Brand/Phrase/Apr24/1,Cushions,Car Backrest Pillow
SBV/Tailbone Pillow/Brand/Exact/PDP/Apr24/1,Cushions,Tailbone Relief Cushion
SBV/Car Backrest Pillow/Brand/PDP/Phrase/Apr24/1,Cushions,Car Backrest Pillow
SBV/Tailbone Pillow/Brand/Phrase/PDP/Apr24/1,Cushions,Tailbone Relief Cushion
SBV/Car Backrest Pillow/CAT/PT/PDP/Apr24/1,Cushions,Car Backrest Pillow
SBV/Tailbone Pillow/Phrase/PDP/Apr24/2,Cushions,Tailbone Relief Cushion
SBV/Tailbone Pillow/Phrase/Apr24/1,Cushions,Tailbone Relief Cushion
SBV/Car Backrest Pillow/Brand/Exact/Apr24/1,Cushions,Car Backrest Pillow
SBV/Tailbone Pillow/COMP/PDP/Apr24/1,Cushions,Tailbone Relief Cushion
SBV/Car Backrest Pillow/Phrase/Apr24/2,Cushions,Car Backrest Pillow
SBV/Cervical Pillow/Generic/Exact/PDP/Apr24/1,Cushions,Cervical Neck Pillow
SBV/Car Backrest Pillow/Brand/PT/Apr24/1,Cushions,Car Backrest Pillow
SBV/Tailbone Pillow/CAT/PDP/Apr24/1,Cushions,Tailbone Relief Cushion
SBV/Car Backrest Pillow/Brand/PDP/Exact/Apr24/1,Cushions,Car Backrest Pillow
SBV/Tailbone Pillow/Phrase/Apr24/2,Cushions,Tailbone Relief Cushion
SBV/Car Backrest Pillow/Phrase/Apr24/1,Cushions,Car Backrest Pillow
SBV/Car Backrest Pillow/COMP/PT/PDP/Apr24/1,Cushions,Car Backrest Pillow
SBV/Tailbone Pillow/Phrase/PDP/Apr24/1,Cushions,Tailbone Relief Cushion
SBV/Car Backrest Pillow/Exact/Apr24/2,Cushions,Car Backrest Pillow
SBV/Car Backrest Pillow/Exact/Apr24/1,Cushions,Car Backrest Pillow
SBV/Seat Cushion/Phrase/Ultimate Pro/Apr24/1,Cushions,Ultimate Pro Seat Cushion
SBV/Tailbone Pillow/Exact/PDP/May24/2,Cushions,Tailbone Relief Cushion
SBV/Tailbone Pillow/Exact/May24/2,Cushions,Tailbone Relief Cushion
SBV/Tailbone Pillow/Exact/PDP/May24/1,Cushions,Tailbone Relief Cushion
SBV/Tailbone Pillow/Exact/May24/1,Cushions,Tailbone Relief Cushion
SBV/Seat Cushion/Exact/Ultimate Pro/Apr24/1,Cushions,Ultimate Pro Seat Cushion
SB/Tailbone Pillow/Phrase/May24/1,Cushions,Tailbone Relief Cushion
SB/Tailbone Pillow/Exact/May24/1,Cushions,Tailbone Relief Cushion
SBV/Cervical Neck/Generic/Exact/May24/1,Cushions,Cervical Neck Pillow
SBV/Cervical Neck/Generic/Phrase/May24/1,Cushions,Cervical Neck Pillow
SBV/Cozy Pillow/Brand/Exact/May24/1,Cushions,Cozy Sleep Pillow
SB/Cozy Pillow/Brand/Phrase/PT/May24/1,Cushions,Cozy Sleep Pillow
SB/Cozy Pillow/Brand/Exact/PT/May24/1,Cushions,Cozy Sleep Pillow
SB/Cozy Pillow/Phrase/May24/1,Cushions,Cozy Sleep Pillow
SB/Cozy Pillow/Exact/May24/1,Cushions,Cozy Sleep Pillow
SBV/Cozy Pillow/Brand/Phrase/May24/1,Cushions,Cozy Sleep Pillow
SB/Cozy Pillow/CAT/May24/1,Cushions,Cozy Sleep Pillow
SBV/Cozy Pillow/Exact/PDP/Pack of 2/Apr24/1,Cushions,Cozy Sleep Pillow
SBV/Wedge Plus/Phrase/PDP/Wedge/May24/1,Cushions,Wedge Plus
SB/Wedge Plus/Phrase/Wedge/May24/1,Cushions,Wedge Plus
SB/Wedge Plus/Exact/Wedge/May24/1,Cushions,Wedge Plus
SBV/Wedge Plus/Exact/PDP/Wedge/May24/1,Cushions,Wedge Plus
SB/Wedge Plus/Phrase/May24/1,Cushions,Wedge Plus
SBV/Wedge Plus/Exact/PDP/May24/1,Cushions,Wedge Plus
SBV/Wedge Plus/Phrase/PDP/May24/1,Cushions,Wedge Plus
SB/Wedge Plus/Exact/May24/1,Cushions,Wedge Plus
SB/Rigid Arch Support/Generic/Exact/Jun24/1,Insoles,Rigid Arch Support Insole
SB/Rigid Arch Support/Generic/Phrase/Jun24/1,Insoles,Rigid Arch Support Insole
SBV/Rigid Arch Support/Exact/PDP/Jun24/1,Insoles,Rigid Arch Support Insole
SBV/Rigid Arch Support/Phrase/PDP/Jun24/1,Insoles,Rigid Arch Support Insole
SB/Memory Foam/Exact/Jul24/1,Insoles,Memory Hi-Per Foam Insole
SB/Memory Foam/COMP/Jul24/1,Insoles,Memory Hi-Per Foam Insole
SB/Memory Foam/Phrase/Jul24/1,Insoles,Memory Hi-Per Foam Insole
SBV/Rigid Arch Support/CAT/PDP/Jul24/1,Insoles,Rigid Arch Support Insole
SBV/Rigid Arch Support/Targeting/PDP/Jul24/1,Insoles,Rigid Arch Support Insole
SB/Memory Foam/CAT/Jul24/1,Insoles,Memory Hi-Per Foam Insole
SB/Rigid Arch Support/Generic/Exact/Jul24/1,Insoles,Rigid Arch Support Insole
SB/Rigid Arch Support/Targeting/Jul24/1,Insoles,Rigid Arch Support Insole
SB/Rigid Arch Support/Generic/Phrase/Jul24/1,Insoles,Rigid Arch Support Insole
SBV/Insole/Dual Gel/Phrase/July24/1,Insoles,Dual Gel Insoles
SBV/Wedge Plus/COMP/PDP/Jul/24/1,Cushions,Wedge Plus
SB/Wedge Plus/Brand/Exact/Jul/24/1,Cushions,Wedge Plus
SB/Wedge Plus/COMP/Jul24/1,Cushions,Wedge Plus
SB/Wedge Plus/CAT/Jul24/1,Cushions,Wedge Plus
SB/Wedge Plus/Brand/Phrase/Jul/24/1,Cushions,Wedge Plus
SBV/Back/Exact/Ultimate Pro/PDP/Sep23/1,"Cushions	",Ultimate Pro Back Cushion
SBV/Back/Phrase/Ultimate Pro/PDP/Sep23/1,"Cushions	",Ultimate Pro Back Cushion
SBV/Rigid Arch Support/Brand/Phrase/PDP/Jul24/1,Insoles,Rigid Arch Support Insole
SB/Arch Sport/RCB/Exact/Aug24/1,Insoles,Arch Sport Insoles
SB/Arch Sport/RCB/Targeting/Aug24/1,Insoles,Arch Sport Insoles
SB/Arch Sport/RCB/Targeting/VCPM/Aug24/1,Insoles,Arch Sport Insoles
SB/Arch Sport/RCB/Phrase/Aug24/1,Insoles,Arch Sport Insoles
SBV/Rigid Arch Support/Phrase/Aug24/1,Insoles,Rigid Arch Support Insole
